'Oumuamua	奥陌陌
Atacama Cosmology Telescope	缩写：ACT。阿塔卡马宇宙学望远镜
Atacama Large Millimeter/sub-millimeter Array	缩写：ALMA。阿塔卡马大型毫米[/亚毫米]波阵
Atacama Pathfinder Experiment telescope	缩写：APEX。阿塔卡马探路者实验望远镜
Atalante	驰神星
Ate	苟神星
Aten	阿登
Aten asteroid	阿登型小行星
Aten group	阿登群
Athebyne	少宰; 紫微左垣三
Ati	卷舌增七
Atik	卷舌增七
Atlantic Standard Time	缩写：AST。大西洋标准时间
Atlas	1、土卫十五; 2、昴宿七
Atlas crater	阿特拉斯环形山
Atlas of Peculiar Galaxies	特殊星系图集
Atomic Time 1	缩写：A1。A1原子时
Atomichron	原子钟
Atria	三角形三
Au	全称：gold。金
Auger effect	俄歇效应
Auger shower	俄歇簇射
August meteors	八月流星雨
Augusta	奥古斯塔
Augusta family	奥古斯塔族
Augustin Von Hallerstein	刘松龄
Aur	全称：Auriga。御夫座
Aura	1、大气号; 2、奥拉号
Aureole	日晕号
Auriga	缩写：Aur。御夫座
Aurora	1、彩神星; 2、极光号
Aurorae	曙光号
Aus-VO	全称：Australian Virtual Observatory。澳大利亚虚拟天文台
Ausonia	奥索尼亚
Australia Telescope	缩写：AT。澳大利亚巨型望远镜
Australia Telescope Compact Array	缩写：ATCA。澳大利亚望远镜致密阵
Australia Telescope National Facility	缩写：ATNF。澳洲国立巨型望远镜
Australian Astronomical Observatory	缩写：AAO。澳大利亚天文台
Australian Astronomical Telescope	缩写：AAT。澳大利亚望远镜
Australian Patrol Telescope	缩写：APT。澳洲巡天望远镜
Australian Research Council	缩写：ARC。澳大利亚研究委员会
Australian Square Kilometre Array Pathfinder	缩写：ASKAP。澳大利亚平方千米阵探路者
Australian Virtual Observatory	缩写：Aus-VO。澳大利亚虚拟天文台
Automated Astronomical Positioning System	缩写：AAPS。自动天文定位系统
Automated Plate Measuring Survey	缩写：APM Survey。底片自动测量巡天; APM巡天
Automated Plate-Measuring System	缩写：APM。底片自动测量系统
Automatic Meridian Circle	缩写：AMC。自动子午环
Automatic Plate Measuring galaxy catalogue	缩写：APM galaxy catalogue。底片自动测量星系表; APM星系表
Automatic Transit Circle	缩写：ATC。自动子午环
Autonoe	木卫二十八
Autumnal Equinox	秋分
Auva	东次相; 太微左垣三
Avicenna crater	阿维森纳环形山
Avior	海石一
Avogadro crater	阿伏伽德罗环形山
Awakening from Hibernation	惊蛰
Axilla	斗宿六
Azelfafage	螣蛇四
Azha	天苑六
Azimech	角宿一
Azmidiske	弧矢增十七
Azur	蓝天号
Azure Dragon	苍龙
B	全称：boron。硼
B band	B谱带
B coefficient	B系数
B galaxy	B星系
B layer	B层
B mode polarization	B模式偏振
B star	B型星
B subdwarf	B型亚矮星
B supergiant	B型超巨星
B-L conservation	重子轻子差守恒
B-V color index	B-V色指数
B-magnitude	B星等
B-type asteroid	B型小行星
B-type star	B型星
B2FH	B2FH理论
BAA	全称：British Astronomical Association。英国天文协会
BAC	全称：British Association Catalogue。英国天文协会星表
BAL	全称：broad absorption line。宽吸收线
BAL quasar	全称：broad absorption-line quasar。宽吸收线类星体
BAO	1、全称：Baryon Acoustic Oscillation。重子声学振荡; 2、全称：Beijing Astronomical Observatory。北京天文台
BAT	全称：γ-ray Burst Alert Telescope。γ暴预警望远镜
BBGKY hierarchy	全称：Bogoliubov-Born-Green-Kirkwood-Yvon hierarchy。BBGKY方程组
BBKS transfer function	全称：Bardeen-Bond-Kaiser-Szalay transfer function。BBKS转移函数
BBN	全称：Big Bang nucleosynthesis。大爆炸核合成
BC	全称：bolometric correction。热改正
BCA model	全称：Bilderberg continuum atmosphere model。比德伯格连续大气模型
BCDG	全称：blue compact dwarf galaxy。蓝致密矮星系
BCG	全称：blue compact galaxy。蓝致密星系
BCRS	全称：Barycentric Celestial Reference System。质心天球参考系
BD	全称：Bonner Durchmusterung。波恩星表; BD星表
BDS	全称：Burnham's General Catalogue of Double Stars。伯纳姆双星总表
BDUNT	全称：Baikal Deep Underwater Neutrino Telescope。贝加尔湖深水中微子望远镜
BE	全称：Bayesian evidence。贝叶斯证据
BGO scintillator	锗酸铋闪烁体
BH	全称：black hole。黑洞
BIB detector	全称：blocked impurity band detector。阻杂带探测器
BIC	全称：Bayesian information criterion。贝叶斯信息判据
BIH	全称：Bureau International de l'Heure。国际时间局
BIMA array	全称：Berkeley-Illinois-Maryland Association array。伯克利-伊利诺斯-马里兰联合[射电]阵; BIMA射电望远镜阵
BIPM	全称：Bureau International des Poids et Measures。国际计量局
BL Her star	全称：BL Herculis star。武仙BL型星
BL Herculis star	缩写：BL Her star。武仙BL型星
BL Lac	全称：BL Lacertid; BL Lacertae object; Lacertid。蝎虎天体
BL Lacertae object	缩写：BL Lac。蝎虎天体
BL Lacertid	缩写：BL Lac。蝎虎天体
BLR	全称：broad-line region。宽线区
BLRG	全称：broad-line radio galaxy。宽线射电星系
BM area	BM区
BMR	全称：bipolar magnetic region。双极磁区
BN object	全称：Becklin-Neugebauer object。BN天体; 贝克林-诺伊格鲍尔天体
BOSS	全称：baryon oscillation spectroscopic survey。重子振荡光谱巡天
BP mechanism	全称：Blanford-Payne mechanism of jet formation。BP[喷流形成]机制
BPS	全称：Bogomol'nyi-Prasad-Sommerfield bound。博格莫尼-普拉萨德-萨默菲尔德限
BRITE Constellation	全称：BRight Target Explorer - Constellation。亮目标探测器卫星网
BRight Target Explorer - Constellation	缩写：BRITE Constellation。亮目标探测器卫星网
BS	全称：The Bright Star Catalogue; Catalogue of Bright Stars。亮星星表
BSD	全称：Bergedorfer Spectral Durchmusterung。贝格多夫恒星光谱表
BSI	全称：Bibliographical Star Index。恒星文献索引
BTA	全称：Large Altazimuth Telescope。大型地平装置望远镜
BV	全称：Bamberg variable。班贝格变星
BV photometry	BV测光
BY Draconis star	天龙座BY型星
BY Draconis variable	天龙BY型变星
BZ mechanism	全称：Blanford-Znajek mechanism of jet formation。BZ[喷流形成]机制
Ba	全称：barium。钡
Ba II star	电离钡星
Ba star	钡星
Baade crater	巴德环形山
Baade's Window	巴德窗
Baade's star	巴德星
Baade-Wesselink analysis	巴德-韦塞林克分析
Baade-Wesselink mass	巴德-韦塞林克质量
Baade-Wesselink method	巴德-韦塞林克方法
Baade-Wesselink radius	巴德-韦塞林克半径
Babbage crater	巴贝奇环形山
Babcock crater	巴布科克环形山
Babcock magnetograph	巴布科克磁像仪
Babinet compensator	巴俾涅补偿器
Babylonian calendar	巴比伦历
Bach crater	巴赫环形山
Back-Paschen effect	贝克-帕邢效应
Backlund crater	巴克伦德环形山
Baco crater	培根环形山
Badger's equation	巴德格方程
Baghdad Sulcus	巴格达沟
Baham	危宿二
Baikal Deep Underwater Neutrino Telescope	缩写：BDUNT。贝加尔湖深水中微子望远镜
Bailey type variable	贝利型变星
Baillaud crater	巴约环形山
Bailly crater	巴伊环形山
Baily's Beads	贝利珠
Bajin	巴金
Baker-Nunn camera	贝克-纳恩照相机
Baker-Schmidt mirror system	贝克-施密特反射镜系统
Baker-Schmidt telescope	贝克-施密特望远镜
Baktun	白克顿
Balboa crater	巴尔沃亚环形山
Balch crater	鲍尔奇环形山
Baldet crater	巴尔代环形山
Baldet-Johnson band	巴尔德特-约翰逊谱带
Baldwin effect	鲍德温效应
Ball of wool	昴宿
Ballik-Ramsay band	巴利克-拉姆塞谱带
Balloon Observations of Millimetric Extragalactic Radiation and Geophysics telescope	缩写：Boomerang telescope。飞镖球载望远镜
Balmer continuum	巴耳末连续区
Balmer crater	巴尔末环形山
Balmer decrement	巴耳末减幅
Balmer discontinuity	巴耳末跳跃; 巴耳末跃变
Balmer jump	巴耳末跳跃; 巴耳末跃变
Balmer limit	巴耳末系限
Balmer line	巴耳末谱线
Balmer progression	巴耳末渐进
Balmer series	巴耳末线系
Baltic Astronomy	波罗的海天文学
Bamberg variable	缩写：BV。班贝格变星
Bamberga	班贝格
Banach space	巴纳赫空间
Banachiewicz crater	巴纳赫维奇环形山
Bandpowers	带功率
Banting crater	班廷环形山
Barbier crater	巴尔比耶环形山
Bardeen-Bond-Kaiser-Szalay transfer function	缩写：BBKS transfer function。BBKS转移函数
Barlow lens	巴罗透镜
Barnard Gap	巴纳德环缝
Barnard crater	巴纳德环形山
Barnard satellite	巴纳德木卫
Barnard's Galaxy	巴纳德星系
Barnard's Loop	巴纳德环; 巴纳德圈
Barnard's Merope Nebula	巴纳德昴宿五星云
Barnard's Ring	巴纳德环; 巴纳德圈
Barnard's star	巴纳德星
Barnett effect	巴涅特效应
Barringer crater	巴林杰陨星坑
Barrow crater	巴罗环形山
Bartel's diagram	巴特尔图
Bartels crater	巴特尔斯环形山
Barycentric Celestial Reference System	缩写：BCRS。质心天球参考系
Barycentric Coordinate Time	缩写：TCB。质心坐标时
Barycentric Dynamical Time	缩写：TDB。质心力学时
Baryon Acoustic Oscillation	缩写：BAO。重子声学振荡
Basket	箕宿
Baten Kaitos	天仓四
Bauhinia	洋紫荆
Baumbach corona	鲍姆巴赫日冕
Baumbach formula	鲍姆巴赫公式
Bautz-Morgan type	鲍茨-摩根形态型
Bavaria	巴伐利亚
Bay of Astronauts	宇航员湾
Bayer constellation	拜尔星座
Bayer letter	拜尔星名字母
Bayer name	拜尔星名
Bayes network	贝叶斯网
Bayes theorem	贝叶斯定理
Bayesian evidence	缩写：BE。贝叶斯证据
Bayesian information criterion	缩写：BIC。贝叶斯信息判据
Bayesian network	贝叶斯网
Bayesian statistics	贝叶斯统计
Be	全称：beryllium。铍
Be dwarf	Be矮星
Be star	Be星
Be/X-ray binary	Be/X射线双星
Beagle 2 Mars lander	猎兔犬2火星着陆器
Beal's classification	比尔分类
Beatrix	欣女星
Beaumont crater	博蒙环形山
Beaverhead crater	比弗黑德陨星坑
Bebhionn	土卫三十七
Becklin-Neugebauer object	缩写：BN object。BN天体; 贝克林-诺伊格鲍尔天体
Becrux	十字架三
Beehive Cluster	蜂巢星团
Beemim	九州殊口四
Beer-Lambert law	比尔-朗伯定律
Beethoven region	贝多芬地区
Beginning of Autumn	立秋
Beginning of Spring	立春
Beginning of Summer	立夏
Beginning of Winter	立冬
Behaim crater	贝海姆环形山
Beid	九州殊口二
Beiguan	北京天文馆
Beihang	北航
Beijerinck crater	拜耶林克环形山
Beijing Ancient Observatory	北京古观象台
Beijing Astronomical Observatory	缩写：BAO。北京天文台
Beijingaoyun	北京奥运
Beijingdaxue	北京大学
Beishida	北师大
Beishizhang	贝时璋
Bekenstein-Hawking entropy of black hole	贝肯斯坦-霍金黑洞熵
Bel'kovich crater	别利科维奇环形山
Belinda	天卫十四
Bell crater	贝尔环形山
Bell's theorem	贝尔定理
Bellatrix	参宿五
Bellingshausen crater	别林斯高晋环形山
Bellinsgauzen crater	别林斯高晋环形山
Bellona	战神星
Belopol'skiy crater	别洛波利斯基环形山
Belt of Orion	猎户腰带
Belyaev crater	别利亚耶夫环形山
Benetnash	摇光; 北斗七
Benett comet	贝内特彗星
Benjamin Hobson	合信
BepiColombo	贝比科隆博水星探测计划
BeppoSAX	全称：Satellite per Astronomia X。贝波X射线天文卫星
Bergedorfer Spectral Durchmusterung	缩写：BSD。贝格多夫恒星光谱表
Bergelmir	土卫三十八
Bergman series	伯格曼线系
Berkeley-Illinois-Maryland Association array	缩写：BIMA array。伯克利-伊利诺斯-马里兰联合[射电]阵; BIMA射电望远镜阵
Berkner crater	伯克纳环形山
Berlage crater	伯尔拉赫环形山
Bernoulli probability	伯努利概率
Bernoulli's equation	伯努利方程
Berosus crater	贝罗索斯环形山
Berzelius crater	贝尔塞柳斯环形山
Bessel Gap	贝塞尔环缝
Bessel crater	贝塞尔环形山
Bessel equation	贝塞尔方程
Besselian date	贝塞尔日期
Besselian day number	贝塞尔日数
Besselian elements	贝塞尔根数
Besselian epoch	贝塞尔历元
Besselian solar year	贝塞尔太阳年
Besselian star constant	贝塞尔恒星常数
Besselian star number	贝塞尔星数
Besselian year	贝塞尔年
Bestia	土卫三十九
Beta Regio	贝塔区
Beta Taurid meteor shower	金牛座β流星雨
Beta Taurids	金牛座β流星雨
Betelgeuse	参宿四
Bethe cycle	贝蒂循环
Bethe-Weizsäcker cycle	贝蒂-魏茨泽克循环
Bettina	贝蒂
Bečvář crater	贝奇瓦日环形山
Bhabha crater	巴巴环形山
Bharani	胃宿三
Bi	全称：bismuth。铋
Bianca	天卫八
Bianchi cosmology	比安基宇宙论
Bianchi identity	比安基恒等式
Biandepei	卞德培
Bibliographical Star Index	缩写：BSI。恒星文献索引
Biela crater	比拉环形山
Biela's comet	比拉彗星
Bielid meteors	比拉流星群
Bielids	比拉流星群
Big Bang chronology	大爆炸年代学
Big Bang cosmology	大爆炸宇宙论
Big Bang model	大爆炸模型
Big Bang nucleosynthesis	缩写：BBN。大爆炸核合成
Big Bang singularity	大爆炸奇点
Big Bang theory	大爆炸理论
Big Bear Solar Observatory	大熊湖太阳观测台
Big Dipper	北斗[七星]
Biham	危宿二
Bilderberg continuum atmosphere model	缩写：BCA model。比德伯格连续大气模型
Birkeland crater	伯克兰环形山
Birkhoff crater	伯克霍夫环形山
Birkhoff regularization	伯克霍夫正规化
Birkhoff theorem	伯克霍夫定理
Birmingham crater	伯明翰环形山
Bk	全称：berkelium。锫
Blaauw mechanism	布劳机制
Black Tortoise	玄武
Black Widow Pulsar	毒蜘蛛脉冲星
Black-eye Galaxy	黑眼睛星系
Blackett crater	布莱克特环形山
Blanford-Payne mechanism of jet formation	缩写：BP mechanism。BP[喷流形成]机制
Blanford-Znajek mechanism of jet formation	缩写：BZ mechanism。BZ[喷流形成]机制
Blashko effect	布拉什科效应
Blaze Star	闪耀星
Blazhko crater	布拉日科环形山
Blazhko effect	布拉日科效应
Blinking Planetary Nebula	闪视行星状星云
Bloch-Siegert [frequency] shift	布洛赫-西格特频移
Bloch-Siegert effect	布洛赫-西格特效应
Blue Dragon	苍龙
Blue Planetary Nebula	蓝行星状星云
Blue Snowball	蓝雪球
Blue Snowball Nebula	蓝雪球星云
Bode's Galaxy	波德星系
Bode's law	波得定则
Bogoliubov-Born-Green-Kirkwood-Yvon hierarchy	缩写：BBGKY hierarchy。BBGKY方程组
Bogomol'nyi-Prasad-Sommerfield bound	缩写：BPS。博格莫尼-普拉萨德-萨默菲尔德限
Boguslawsky crater	博古斯瓦夫斯基环形山
Bohlin group method	波林群法
Bohr crater	玻尔环形山
Bohr magneton	玻尔磁子
Bohr radius	玻尔半径
Bohr-Coster diagram	玻尔-科斯特图
Bok globule	博克球状体
Bologna survey	博洛尼亚星表
Boltysh crater	波泰士陨星坑
Boltzmann brain paradox	玻尔兹曼大脑佯谬
Boltzmann constant	玻尔兹曼常量
Boltzmann crater	玻尔兹曼环形山
Boltzmann distribution	玻尔兹曼分布
Boltzmann equation	玻尔兹曼方程
Boltzmann equation of state	玻尔兹曼物态方程
Boltzmann excitation formula	玻尔兹曼激发公式
Boltzmann factor	玻尔兹曼因子
Boltzmann formula	玻尔兹曼公式
Boltzmann statistics	玻尔兹曼统计
Boltzmann-Einstein equations	玻尔兹曼-爱因斯坦方程
Boltzmann-Einstein system of equations	玻尔兹曼-爱因斯坦方程组
Boltzmann-Saha theory	玻尔兹曼-萨哈理论
Bolyai crater	鲍耶环形山
Bond	娄宿
Bond Gap	邦德环缝
Bond albedo	邦德反照率
Bondi accretion	邦迪吸积
Bonn Telescope	波恩射电望远镜
Bonner Durchmusterung	缩写：BD。波恩星表; BD星表
Bonnor-Ebert mass	邦纳-埃伯特质量
Bonpland crater	邦普朗环形山
Boo	全称：Bootes。牧夫座
Boole crater	布尔环形山
Boomerang Nebula	旋镖星云
Boomerang telescope	全称：Balloon Observations of Millimetric Extragalactic Radiation and Geophysics telescope。飞镖球载望远镜
Bootes	缩写：Boo。牧夫座
Bootes void	牧夫巨洞
Bootids	牧夫流星群
Borasisi	博拉西西
Boreal sign	北方宫
Borman crater	博尔曼环形山
Born approximation	玻恩近似
Born-Oppenheimer approximation	玻恩-奥本海默近似
Borrelly Comet	博雷利彗星
Bose crater	博斯环形山
Bose-Einstein distribution	玻色-爱因斯坦分布
Bose-Einstein nuclei	玻色-爱因斯坦核
