1/f 噪声	1/f noise
λ双重线	λ doublet; λ doubling line
λ超子	λ-hyperon
μ介子	muon; μ-meson
π介子	pion; π-meson
π分量	π component
ρ介子	ρ-meson
σ分量	σ component
τ介子	τ-meson
τ冷暗物质模型	全称：τ Cold Dark Matter model。缩写：τCDM model
τ分量	τ component
τ检验	τ test
υ分量	υ component
ω导航系统	ω navigation system
ω星云	Omega Nebula; ω Nebula
Ⅰa型超新星	type Ⅰa supernova
Ⅰb型超新星	type Ⅰb supernova
Ⅰc型超新星	type Ⅰc supernova
Ⅰ型X射线暴源	type Ⅰ X-ray burster
Ⅰ型不规则星系	Irr Ⅰ galaxy
Ⅰ型射电星系	type Ⅰ radio galaxy
Ⅰ型射电暴	type Ⅰ radio burst
Ⅰ型类星体	type Ⅰ quasar
Ⅰ型赛弗特星系	type Ⅰ Seyfert
Ⅰ型超新星	type Ⅰ supernova; SN type Ⅰ
Ⅰ型造父变星	type Ⅰ Cepheid
Ⅰ级文明	level-Ⅰ civilization
Ⅱn型超新星	type Ⅱn supernova
Ⅱ不规则型星系	Irr Ⅱ galaxy
Ⅱ型X射线暴源	type Ⅱ X-ray burster
Ⅱ型射电星系	type Ⅱ radio galaxy
Ⅱ型射电暴	type Ⅱ radio burst
Ⅱ型类星体	type Ⅱ quasar
Ⅱ型赛弗特星系	type Ⅱ Seyfert
Ⅱ型超新星	type Ⅱ supernova; SN type Ⅱ
Ⅱ型造父变星	type Ⅱ Cepheid
Ⅱ级文明	level-Ⅱ civilization
Ⅲ型射电暴	type Ⅲ radio burst
Ⅲ级文明	level-Ⅲ civilization
一个半象限差	sesqui-quadrate
一元分类	one-dimensional classification
一号圈	Loop Ⅰ
一次差	first difference
一次累加	first summation
一氧化氮	nitric oxide
一氧化硅	silicon monoxide
一氧化硅微波激射	SiO maser
一氧化硫	sulfur monoxide
一氧化碳	carbon monoxide
一硫化氮	nitric sulfide
一硫化硅	silicon monosulfide
一硫化碳	carbon monosulfide
一等三角测量	primary triangulation
一级光谱	first order spectrum
一级星系	first-rank galaxy
一级相变	first order phase transition
一级示距天体	primary distance indicator
一级近似	first approximation
一级近似理论	first order theory
一维	unidimension
一维综合孔径	one-dimensional synthesis; one-dimensional aperture synthesis
一般椭圆型	general elliptic type
一英里射电望远镜	One-Mile Telescope
一行	Yi Xing
丁韪良	William Alexander Parsons Martin
七公六	Alkalurops
七公增五	Nakkar; Nekkar
七姊妹星	Seven Sisters
七政	Seven Luminaries
七政仪	orrery
七曜	Seven Luminaries
七色测光	7-color photometry
七重态	septet
七重线	septet; heptet
万年历	permanent calendar; perpetual calendar
万有引力	universal gravitation
万有引力定律	law of universal gravitation
万有覆盖面	universal covering surface
万物理论	theory of everything
万用滤波器	universal filter
万维望远镜	全称：WorldWide Telescope。缩写：WWT
万花尺星云	Spirograph Nebula
万达环形山	Wanda crater
丈人一	Phack; Phact; Phad; Phaet; Phakt
三α过程	triple-α process; triple-alpha process
三体复合	three-body recombination
三体碰撞	triple collision; three-body collision
三体问题	3-body problem; three-body problem; problem of three bodies
三元光谱分类	three-dimension classification; three-dimension spectral classification
三元分类	3-dimensional classification
三元基	triad
三分方位	trigonal aspect
三分点	trigonal point
三千秒差距臂	three-kiloparsec arm; 3 kpc Arm
三反[射镜]消像散系统	全称：three-mirror anastigmat。缩写：TMA
三反光面望远镜	3-mirror telescope
三反射面馈源系统	three-reflector feed system
三台一	Talita; Talitha
三台三	Tania Borealis
三台五	Alula Borealis
三台六	Alula Australis
三台四	Tania Australis
三叶星云	Trifid Nebula
三号圈	Loop Ⅲ
三合小行星	triple asteroid
三合星	triple star
三合物镜	3-lens objective
三合类星体	triple quasar
三合透镜	1、triplet; 2、triplet lens
三垣	Three Enclosures
三小时全球地磁指数	three-hour geomagnetic planetary index
三星星座	three-satellite constellation
三棱镜摄谱仪	3-prism spectrograph
三次畸变	cubic distortion
三水	Sanshui
三流假说	three-drift hypothesis
三点平均	triadic mean
三点相关函数	three-point correlation function
三相CCD	three-phase CCD
三程光行时	three-way light time
三程多普勒	three-way Doppler
三级反射面天线	tertiary reflector antenna
三级示距天体	tertiary distance indicator
三统历	Three Sequences Calendar
三维分光	tri-dimensional spectroscopy
三维标架	triad
三维结构图	tomograph
三脚架	tripod
三色测光	3-color photometry; three-color photometry
三角仪	triquetrum
三角座	全称：Triangulum。缩写：Tri
三角形三	Atria
三角星系	Triangulum Galaxy; Triangulum Nebula
三角测量	triangulation
三角点	triangular point
三角畸变	triangular distortion
三角视差	trigonometric parallax
三谱	trispectrum
三轴分布	triaxial distribution
三轴性参数	triaxiality parameter
三轴椭球体	three-axial ellipsoid
三轴系统	triaxial system
三轴装置	triaxial mount; triaxial mounting; 3-axis mounting; three-axis mount; three-axis mounting
三辰仪	three luminary set; component of the three arrangers of time
三重态	triplet
三重星系	triple galaxy
三重棱镜摄谱仪	three-prism spectrograph
三重线	triplet
上中天	superior transit; upper culmination; upper transit
上主星序	upper main sequence
上元	superior epoch; grand origin
上元积年	grand origin
上升	ascend; ascension; ascent
上升号	Voskhod
上升支	ascending branch
上升日珥	rising prominence
上升时间	rise time
上升点	rising point
上升阶段	rise phase
上午	全称：ante meridiem。缩写：a.m.
上卫增一	Alfirk
上变频	up-conversion
上台一	Talita; Talitha
上台二	Talitha Australis; Al Kaprah; Alphikra Australis
上台增七	Intercrus
上台增四	Alsciaukat; Mabsuthat
上合	superior conjunction
上地幔	upper mantle
上天极	elevated pole
上定标	全称：ubercalibration。缩写：Ubercal
上帝手指	finger of God
上幔岩	pyrolite
上弦	first quarter
上弼	Aldhibah; Nodus I; Nodus Primus
上普罗旺斯天文台	全称：Haute Provence Observatory。缩写：OHP
上正切晕弧	upper tangent arc
上海	Shanghai
上翻	dredge-up
上蛾眉月	waxing crescent; crescent moon
上行光行时	up-leg light time
上规	upper circle; circle of perpetual apparition
上辅	Giausar; Gianfar; Juza
上边缘	upper limb
上部地壳	upper crust
上限	upper limit
上食限	superior eclipse limit
下一代望远镜	全称：next generation telescope。缩写：NGT
下中天	lower culmination; lower transit
下主星序	lower main sequence
下冲板块	downthrust
下午	全称：post meridiem。缩写：p.m.; PM
下半圈	lower branch
下变频	down-conversion
下台一	Alula Borealis
下台二	Alula Australis
下合	inferior conjunction
下地幔	lower mantle
下天极	depressed pole
下子午圈	antimeridian
下弦	last quarter; third quarter
下标	subscript
下沉气流	downdraft
下点	subpoint
下落点	setting point
下蛾眉月	waning crescent
下行光行时	down-leg light time
下规	lower circle; circle of perpetual occultation
下边缘	lower limb
下降支	descending branch
下降阶段	decline phase
下限	lower limit
下食限	inferior ecliptic limit
下高潮	inferior tide
不动点	fixed point
不动点定理	fixed point theorem
不动点方法	fixed point method
不变关系	invariant relation
不变平面	invariable plane; invariant plane
不变曲线	invariant curve
不变曲面	invariant surface
不变源	non-variable source
不变点	invariant point
不变距离	invariant distance
不可分辨源	unresolved source
不可压缩性	incompressibility
不可压缩流体	incompressible liquid
不可约质量	irreducible mass
不可见物质	invisible matter
不可视物质	unseen matter
不可逆性	irreversibility; non-reversibility
不可逆过程	irreversible process
不可通约性	incommensurability
不均匀介质	inhomogeneous medium
不均匀性	inhomogeneity; non-uniformity; unevenness
不均匀性尺度	inhomogeneity scale
不完整约束	non-holonomic constraint
不对称抛射	dissymmetric ejection
不对称模式	dissymmetric mode
不对称膨胀	dissymmetric expansion
不接双星	detached binary; detached system
不明飞行物	全称：unidentified flying object。缩写：UFO
不洁射束	dirty beam
不相容原理	exclusion principle
不相容能量	exclusion energy
不确定性	uncertainty
不稳定区	instability region
不稳定坐标	unstable coordinate
不稳定带	instability strip; instability zone
不稳定平衡	unstable equilibrium
不稳定态	unstable state
不稳定性	instability
不稳定星	non-stable star; unstationary star
不稳定约束	rheonomic constraint
不等性	inequality
不规则卫星	irregular satellite
不规则变星	irregular variable
不规则性	irregularity
不规则星云	irregular nebula
不规则星团	irregular cluster
不规则星系	irregular galaxy; abnormal galaxy
不规则星系团	irregular cluster of galaxies; irregular cluster
不规则河外星云	irregular anagalactic nebula
不规则自转	irregular rotation
不规则轨道	chaotic orbit; irregular orbit
不连续光谱	discontinuous spectrum
不连续性	discontinuity
不透射带	stop band
不透明大气	opaque atmosphere
不透明度	opacity
不透明时期	Opaque Era
不透明系数	coefficient of opacity; opacity coefficient
丑宫	全称：Capricornus。缩写：Cap
专家号	全称：Mars Atmosphere and Volatile Evolution。缩写：MAVEN
世界历	World Calendar
世界坐标系	全称：World Coordinate System。缩写：WCS
世界数据中心	全称：World Data Center。缩写：WDC
世界日	world day
世界时	1、全称：Weltzeit。缩写：W.Z.; 2、全称：universal time。缩写：UT
世界点	world point
世界空间紫外天文台	全称：World Space Observatory-Ultraviolet。缩写：WSO-UV
世界线	world line
世界面	world sheet
世纪	century
世纪年	centurial year
世间月	karma month
丘布陨星坑	Chubb crater
丘成桐	Yaushingtung
丘留莫夫-格拉西缅科彗星	Churyumov-Gerasimenko Comet
丙炔	methyl-acetylene; propyne
丙炔腈	cyanoacetylene
丙烯腈	vinyl cyanide; cyanoethylene
丙烷	propane
丙腈	ethyl cyanide
丛点	cluster point
东	east
东上将	Diadem
东上相	Porrima
东井	Eastern Well
东京天文台	全称：Tokyo Astronomical Observatory。缩写：TAO
东北星	north following star
东半球	eastern hemisphere
东南星	south following star
东壁	Eastern Wall
东大距	greatest eastern elongation; eastern greatest elongation; eastern elongation
东方号	Vostok
东方照	eastern quadrature
东次将	Almuredin; Vindemiatrix
东次相	Auva
东欧时间	全称：East European Time。缩写：EET
东海	Mare Orientale
东海盆地	Orientale Basin
东点	east point
东经	east longitude
东莞	Dongguan
东西不对称性	east-west asymmetry
东西效应	east-west effect
东西线	east-west line
东距角	eastern elongation
东边缘	following edge; following limb
东部时间	全称：Eastern Time。缩写：ET
东部标准时间	全称：Eastern Standard Time。缩写：EST
东非时间	全称：East African Time。缩写：EAT
丝	filament
丝川	Itokawa
丝栅	wire grid
丝距	wire interval
丢卡利翁	Deucalion
丢失小行星	missing asteroid
丢失彗星	missing comet
丢番图溪	Rima Diophantus
丢番图环形山	Diophantus crater
两性球粒陨石	amphoteric chondrite
两点相关函数	two-point correlation function
两相模型	two-phase model
两粒子分布函数	two-particle distribution function
两粒子相关函数	two-particle correlation function
两色图	two-color diagram; color-color diagram; color-color plot
两色测光	two-color photometry
严婉祯	Yenuanchen
个别误差	discrete error
中世纪极大期	medieval maximum
中世纪极小期	medieval minimum
中介偏振星	intermediate polar system; intermediate polar
中介光谱型	intermediate spectrum type
中介光谱型恒星	intermediate-type star
中介坐标	intermediate coordinate
中介天体	in-between object
中介子系	intermediate component
中介射电类星体	radio-intermediate quasar
中介日冕	intermediate corona
中介星族	intermediate population
中介星族恒星	intermediate-population star
中介次系	intermediate subsystem
中介漂暴	intermediate drift burst
中介耦合	intermediate coupling
中介脉冲	interpulse
中位仿视星等	median photovisual magnitude
中位光电星等	median photoelectric magnitude
中位半径	median radius
中位周期	median period
中位弛豫时标	median relaxation time
中位数	median
中位星等	median magnitude
中位照相星等	median photographic magnitude
中冕	middle corona
中分辨分光	moderate-resolution spectroscopy
中分辨摄谱仪	moderate-resolution spectrograph
中华	China
中台一	Tania Borealis
中台二	Tania Australis
中和纪	epoch of neutralization
中国	Zhongguo
中国天文和天体物理学报	全称：Chinese Journal of Astronomy and Astrophysics。缩写：ChJAA
中国天文学会	全称：Chinese Astronomical Society。缩写：CAS
中国甚长基线干涉网	全称：Chinese VLBI network。缩写：CVN
中国科学院国家天文台	全称：National Astronomical Observatories, Chinese Academy of Sciences。缩写：NAOC
中国虚拟天文台	全称：Chinese Virtual Observatory。缩写：China-VO
中型望远镜	modest telescope
中型黑洞	midsize black hole
中大	1、Jhongda; 2、Zhongda
中天	culmination; meridian transit; meridian passage
中天光学望远镜	transit optical telescope
中天光度计	meridian photometer
中天射电望远镜	transit radio telescope
中天时刻	transit time
中天星	culminant star
中天望远镜	transit telescope
中天测光	meridian photometry
中天观测	meridian observation
中天记录器	transiter
中央主导星系	全称：central-Dominated galaxy。缩写：cD galaxy
中央子午线	全称：central meridian。缩写：CM
中央峰	central mountain; central peak
中央日期	central date
中央星	central star
中央湾	Sinus Medii
中子-质子比	neutron-to-proton ratio; neutron-proton ratio
中子俘获	neutron capture
中子化	neutronization
中子对	bineutron
中子星	neutron star
中子星吸积	accretion by neutron star
中子滴	neutron drop
中子物质	neutron matter
中子能谱	neutron spectrum
中子脉冲	neutron pulse
中子辐射	neutron radiation
中子过剩	neutron excess
中层大气	middle atmosphere
中带宽度	medium-band width
中带测光	intermediate band photometry; medium-band photometry
中度乳胶	medium speed emulsion
中度底片	medium speed plate
中度电离	intermediate ionization
中微子	neutrino
中微子亏缺	neutrino deficiency
中微子冻结	neutrino freeze-out
中微子天体物理学	neutrino astrophysics
中微子天文学	neutrino astronomy
中微子振荡	neutrino oscillation
中微子损耗	neutrino loss
中微子损耗率	neutrino loss rate
中微子散射	neutrino scattering
中微子望远镜	neutrino telescope
中微子检测	neutrino detection
中微子混合	neutrino mixing
中微子简并	neutrino degeneracy
中微子背景	neutrino background
中微子过程	neutrino process
中微子退耦	neutrino decoupling
中微子量差	neutrino discrepancy
中微子韧致辐射	neutrino bremsstrahlung
中心-边缘变化	center-limb variation
中心像	central image
中心凝聚物	central condensation
中心力场	centrally directed field of force
中心差	equation of the center; great inequality
中心构形	central configuration; central figure
中心核	central core
中心温度	central temperature
中心瓣	central lobe
中心线	central line
中心聚集度	central concentration
中心角	central angle
中心轴	central axis
中心遮拦	central blockage
中心重叠法	central overlap technique
中心食	central eclipse
中性区	neutral region
中性原子	neutral atom
中性场	neutral field
中性场线	neutral field line
中性大气	neutral atmosphere
中性彗尾	cometary neutral tail
中性微子	neutralino
中性气体	neutral gas
中性氢	neutral hydrogen
中性氢云	HⅠ cloud
中性氢分布	neutral hydrogen distribution
中性氢区	HⅠ region; neutral hydrogen zone; neutral hydrogen region
中性氢发射	HⅠ emission
中性氢含量	HⅠ content
中性氢吸收	HⅠ absorption
中性氢复合体	HⅠ complex
中性氢流	HⅠ stream
中性氦	neutral helium
中性流	neutral current
中性流片	neutral current sheet
中性滤光片	neutral filter
中性点	neutral point
中性片	current sheet; neutral sheet
中性碳发射线	CⅠ emission line
中性粒子	neutral particle
中性线	neutral line
